title,link,price_whole,price_fraction,price,rating,reviews_count,image_url,asin
"ASUS ROG Herculx Graphics Card Anti-Sag Holder Bracket (Solid Zinc Alloy Construction, Easy Toolless Installation, Included Spirit Level, Adjustable Height, Wide Compatibility, Aura Sync RGB)",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/ASUS-ROG-Construction-Installation-Compatibility/dp/B0B173F6RM/ref=sr_1_1?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-1,41.,34,$41..34,4.6,1548,https://m.media-amazon.com/images/I/71m4QHLRzmL._AC_UY218_.jpg,B0B173F6RM
"ASUS Dual GeForce RTX™ 4060 EVO OC Edition 8GB GDDR6 (PCIe 4.0, 8GB GDDR6, DLSS 3, HDMI 2.1a, DisplayPort 1.4a, Axial-tech Fan Design, 0dB Technology, Dual BIOS, Auto-Extreme Technology, and More)",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/ASUS-DisplayPort-Axial-tech-Technology-Auto-Extreme/dp/B0CVPDY3HN/ref=sr_1_2?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-2,339.,99,$339..99,4.7,2834,https://m.media-amazon.com/images/I/817G0HRzaZL._AC_UY218_.jpg,B0CVPDY3HN
"10k 8k 4k HDMI Cable 3.3 FT, Certified Ultra High Speed HDMI® Cable 4k 144Hz 120Hz 8k 60Hz 2k 240Hz 48Gbps 0.03ms HDR10+ ARC eARC HDCP2.3 Compatible for Mac RTX4090 PC TV PS5 Xbox",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/Cable-3-3ft-Certified-48Gbps-Ultra/dp/B08TGBLLXY/ref=sr_1_3?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-3,9.,45,$9..45,4.6,22083,https://m.media-amazon.com/images/I/61sOLfhbMhL._AC_UY218_.jpg,B08TGBLLXY
"MINISFORUM DEG1 External GPU Dock Station, Mini eGPU Enclosure for RTX 4090, AMD RX 7900 XTX, Support ATX/SFX Standard Power Supplies, Oculink Interface Graphics Dock Station",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/MINISFORUM-External-Enclosure-Expansion-Interface/dp/B0DCZLPWXK/ref=sr_1_4?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-4,129.,90,$129..90,4.3,19,https://m.media-amazon.com/images/I/51cs-T55DKL._AC_UY218_.jpg,B0DCZLPWXK
"Graphics Card GPU Mini Brace Support, Video Card Sag Holder Bracket, GPU Stand, Universal VGA Graphics Card Holder",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/AVERZELLA-Graphics-Support-Bracket-Universal/dp/B09V5VTM8G/ref=sr_1_5?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-5,9.,97,$9..97,4.4,236,https://m.media-amazon.com/images/I/41PAI7bqJtL._AC_UY218_.jpg,B09V5VTM8G
"Alienware X16 R2 Gaming Laptop - 16-inch QHD+ 240Hz 3ms Display, Intel Core Ultra 7-155H, 16GB LPDDR5X RAM, 1TB SSD, NVIDIA GeForce RTX 4070 8GB GDDR6, Windows 11 Home, Onsite Service - Lunar Silver",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/Alienware-X16-R2-Gaming-Laptop/dp/B0D1KQTFT4/ref=sr_1_6?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-6,,,N/A,3.8,22,https://m.media-amazon.com/images/I/71YafTnz8xL._AC_UY218_.jpg,B0D1KQTFT4
MSI MAG A850GL PCIE 5.1 & ATX 3.1 Gaming Power Supply - Full Modular - 80 Plus Gold Certified 850W - Compact Size - ATX PSU - 10 Year Warranty,https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/MSI-A850GL-Gaming-Power-Supply/dp/B0CB9MSJ5N/ref=sr_1_7?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-7,119.,99,$119..99,4.6,3212,https://m.media-amazon.com/images/I/71b3DFHWd7L._AC_UY218_.jpg,B0CB9MSJ5N
Storage Box For RTX4060/RTX4070i/RTX4080S/RTX4090 Graphics Hard Case With Handle Graphics Card Travel Carrying Bag,https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/Storage-RTX4070i-RTX4080S-Graphics-Carrying-PC/dp/B0DLSJ6XBW/ref=sr_1_8?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-8,18.,44,$18..44,N/A,0,https://m.media-amazon.com/images/I/71Ar8YGooIL._AC_UY218_.jpg,B0DLSJ6XBW
"Antec Vertical GPU Mount, Vertical GPU Holder, PCIE 4.0 Riser Cable 190mm Compatible RTX4090 RX7900, Adjustable Length for E-ATX; ATX; Micro ATX Case (Black)",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/Antec-Vertical-Compatible-RTX4090-Adjustable/dp/B0CP823F53/ref=sr_1_9?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-9,64.,90,$64..90,N/A,0,https://m.media-amazon.com/images/I/71Gc+aNN1-L._AC_UY218_.jpg,B0CP823F53
"PCIe 4.0 X16 Riser Cable, Cable Length 200mm, 90 Degree Right Angle Shielded High Speed GPU Extension Cable Compatible with Gen 4 GPUs, Such as RTX4090 RTX3060 RX7900 (PCI-E-4.0-White)",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/LDPCSJ-Shielded-Extension-Compatible-4-0-White/dp/B0D5YW7THG/ref=sr_1_10?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-10,27.,19,$27..19,4.1,20,https://m.media-amazon.com/images/I/513qm3fdxPL._AC_UY218_.jpg,B0D5YW7THG
"8K Ultra Thin HDMI Cable 2-Pack 6.6FT, Slim HDMI 2.1 Cable High Speed HDMI Cord with Ethernet (8K@60Hz, 4K@120Hz/60Hz, Dynamic HDR, eARC) for Monitor, PS5, HDTV, RTX4090/3090, RX7900/7800",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/ZeniKon-Ethernet-Dynamic-Monitor-RTX4090/dp/B0DFYN3ZMN/ref=sr_1_11?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-11,13.,99,$13..99,4.3,17,https://m.media-amazon.com/images/I/71owzb4D8HL._AC_UY218_.jpg,B0DFYN3ZMN
330W Portable GaN AC Adapter 20V 16.5A for Lenovo Legion 9 7 pro 7i 5i 5 Y900 Y700 RTX4080 RTX4090 Yoga AIO 7 ADL330SDC3A GX21M50608 Laptop Charger Power Supply Cord,https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/Portable-Adapter-RTX4080-ADL330SDC3A-GX21M50608/dp/B0D3M66LL5/ref=sr_1_12?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-12,118.,99,$118..99,4.1,14,https://m.media-amazon.com/images/I/61xZwBrvMYL._AC_UY218_.jpg,B0D3M66LL5
"PCI-E 4.0 Riser Cable, PCIe 4.0 x16 High Speed Flexible Extender Card Extension Port 90 Degree Adapter Compatible with Gen 4 GPUs, Such as RTX4090 RTX3060 RX7900, Length 15cm (White)",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/Flexible-Extender-Extension-Adapter-Compatible/dp/B0DKFDVBYG/ref=sr_1_13?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-13,31.,99,$31..99,3.4,3,https://m.media-amazon.com/images/I/51+fP4Y57jL._AC_UY218_.jpg,B0DKFDVBYG
"8K Detachable HDMI Fiber Optic Cable 82Feet/25m, Long HDMI 2.1 Cable in Wall, with Dual Micro HDMI and Standard HDMI Connectors, Compatible for PC, TV, playstation4, PS5, Xbox Series X, RTX4090/4080",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/ecjtu-82Feet-Detachable-Standard-Connectors/dp/B0B4RYXWDZ/ref=sr_1_14?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-14,79.,96,$79..96,4.3,90,https://m.media-amazon.com/images/I/61b44ccX8FL._AC_UY218_.jpg,B0B4RYXWDZ
"Thermaltake LCGS View C i4790 Gaming Desktop (Intel® Core™ i9-14900KF, 64GB DDR5 5600MT/s, NVIDIA® GeForce RTX™ 4090, 2TB+2TB NVMe M.2, WiFi, Windows 11) C70S-Z790-490-LCS",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/Thermaltake-Desktop-i9-14900KF-NVIDIA%C2%AE-C70S-Z790-490-LCS/dp/B0CKYQ5H2X/ref=sr_1_15?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-15,,,N/A,2.8,13,https://m.media-amazon.com/images/I/81RumAAMXPL._AC_UY218_.jpg,B0CKYQ5H2X
